"","CJI1.A.CD1.ET1.1","CJI2.B.CD1.ET2.1","CJI3.I.K5PP3W.ET1.1","CJI4.J.K5PP3W.ET2.1","CJI5.K.K5PP3W.Rap1.1","CJI6.L.K5PP3W.Rap2.1"
"ENSMUSG00000020974",133,108,342,246,206,131
"ENSMUSG00000020978",1017,857,940,962,952,736
"ENSMUSG00000020982",1474,1540,1757,1898,1540,1383
"ENSMUSG00000020986",937,921,761,888,944,814
"ENSMUSG00000020988",486,496,508,452,467,415
"ENSMUSG00000020992",288,233,152,149,223,232
"ENSMUSG00000020993",602,576,507,483,577,448
"ENSMUSG00000020994",2124,2230,2172,2088,2018,1871
"ENSMUSG00000021000",2288,2484,1914,1909,1858,1781
"ENSMUSG00000021003",300,244,464,497,343,307
"ENSMUSG00000021007",173,161,165,137,151,139
"ENSMUSG00000021009",1685,1766,1035,1091,1370,1428
"ENSMUSG00000021010",163,140,61,31,151,163
"ENSMUSG00000021012",2877,2845,2893,2873,2939,2832
"ENSMUSG00000021013",331,396,461,432,599,541
"ENSMUSG00000021018",158,109,233,183,136,134
"ENSMUSG00000021022",419,414,601,566,400,413
"ENSMUSG00000021023",272,317,468,428,284,229
"ENSMUSG00000021024",1052,1019,1771,1418,1204,1040
"ENSMUSG00000021025",5727,7583,5618,5289,7295,8485
"ENSMUSG00000021027",3479,3610,2450,2590,3052,3170
"ENSMUSG00000021028",430,363,422,440,421,421
"ENSMUSG00000021033",682,586,365,382,492,403
"ENSMUSG00000021036",1366,1572,1813,1823,1722,1926
"ENSMUSG00000021037",765,870,1441,1349,1266,871
"ENSMUSG00000021038",566,544,669,685,657,473
"ENSMUSG00000021039",1642,1669,1589,1557,1555,1393
"ENSMUSG00000021040",712,764,848,843,759,673
"ENSMUSG00000021044",142,132,212,189,193,155
"ENSMUSG00000021047",19,29,7,16,50,41
"ENSMUSG00000021048",2957,3033,2912,2416,2309,2317
"ENSMUSG00000021051",2528,2374,2332,2267,2926,2747
"ENSMUSG00000021054",2079,1735,4168,3259,3041,2102
"ENSMUSG00000021055",16,31,9,14,13,12
"ENSMUSG00000021057",128,100,33,19,78,85
"ENSMUSG00000021061",953,741,232,223,335,405
"ENSMUSG00000021062",2639,2935,4240,3970,3717,3140
"ENSMUSG00000021065",1445,1339,1350,1616,1662,1420
"ENSMUSG00000021066",134,100,43,69,67,51
"ENSMUSG00000021067",1536,1097,1337,1306,1306,957
"ENSMUSG00000021068",752,908,1394,1092,1056,1133
"ENSMUSG00000021069",115,108,143,118,63,37
"ENSMUSG00000021070",36,30,24,31,64,57
"ENSMUSG00000021072",1321,1221,2024,1689,1652,1268
"ENSMUSG00000021076",1236,919,1284,1366,1380,1223
"ENSMUSG00000021078",13,15,18,19,14,12
"ENSMUSG00000021079",137,135,221,173,127,118
"ENSMUSG00000021086",36,29,35,42,41,32
"ENSMUSG00000021087",19,13,4,0,13,0
"ENSMUSG00000021091",257,306,1014,320,371,310
"ENSMUSG00000021094",404,308,233,239,241,223
"ENSMUSG00000021096",2088,2016,1638,1649,2001,1810
"ENSMUSG00000021097",350,290,281,358,147,187
"ENSMUSG00000021102",124,104,261,216,157,127
"ENSMUSG00000021103",798,637,625,573,642,641
"ENSMUSG00000021108",885,725,722,700,789,843
"ENSMUSG00000021109",6739,10182,30523,18245,16813,17781
"ENSMUSG00000021111",5080,4905,7920,7436,7653,6279
"ENSMUSG00000021112",2496,2842,1812,1936,1925,2422
"ENSMUSG00000021113",343,311,421,390,342,352
"ENSMUSG00000021114",1138,1254,1490,1500,1386,1157
"ENSMUSG00000021115",289,313,463,346,328,304
"ENSMUSG00000021116",1264,1434,2910,2155,1708,1461
"ENSMUSG00000021118",597,515,669,631,862,593
"ENSMUSG00000021120",591,623,521,555,531,413
"ENSMUSG00000021123",226,249,84,77,200,137
"ENSMUSG00000021124",749,686,655,697,693,609
"ENSMUSG00000021125",568,386,148,239,236,208
"ENSMUSG00000021127",15444,26086,11644,11206,16399,19169
"ENSMUSG00000021130",26,21,3,6,7,11
"ENSMUSG00000021131",482,511,1214,933,702,601
"ENSMUSG00000021133",2787,2976,4305,2580,3332,2917
"ENSMUSG00000021134",11102,10365,6410,8333,7926,8330
"ENSMUSG00000021135",298,214,56,138,127,223
"ENSMUSG00000021136",34,40,17,8,8,12
"ENSMUSG00000021139",528,547,549,526,507,429
"ENSMUSG00000021140",2550,2487,2944,3163,3539,3630
"ENSMUSG00000021143",2006,1709,1092,1155,1180,1101
"ENSMUSG00000021144",2717,2297,2771,2668,2937,2669
"ENSMUSG00000021147",815,737,607,730,702,623
"ENSMUSG00000021149",1126,1456,1697,1362,1124,1060
"ENSMUSG00000021156",3291,3231,3521,3629,3969,3888
"ENSMUSG00000021171",5270,5184,3556,3557,3949,4067
"ENSMUSG00000021175",518,602,1001,763,839,649
"ENSMUSG00000021176",2,7,27,15,11,8
"ENSMUSG00000021177",111,119,203,171,168,121
"ENSMUSG00000021178",831,816,1206,1036,909,827
"ENSMUSG00000021179",355,295,446,362,420,341
"ENSMUSG00000021180",473,457,214,253,447,407
"ENSMUSG00000021182",133,146,739,537,132,204
"ENSMUSG00000021185",405,426,360,332,264,214
"ENSMUSG00000021186",112,85,22,31,34,41
"ENSMUSG00000021187",733,679,139,214,141,181
"ENSMUSG00000021188",4169,4335,4056,3820,4212,4311
"ENSMUSG00000021189",1043,1107,1177,1008,1114,944
"ENSMUSG00000021190",528,381,1046,896,602,670
"ENSMUSG00000021192",1084,1181,999,1128,1124,1211
"ENSMUSG00000021193",1165,1357,1503,1230,789,1034
"ENSMUSG00000021194",32,27,5,28,14,8
"ENSMUSG00000021196",1014,992,1424,1243,625,1178
"ENSMUSG00000021198",75,26,10,12,18,31
"ENSMUSG00000021203",120,109,94,80,84,95
"ENSMUSG00000021209",63,55,76,68,51,48
"ENSMUSG00000021211",51,40,51,61,18,22
"ENSMUSG00000021213",41,43,46,32,28,21
"ENSMUSG00000021215",5717,6605,9713,8837,7105,5833
"ENSMUSG00000021217",211,150,107,134,247,207
"ENSMUSG00000021218",6431,6613,8825,8097,8091,7586
"ENSMUSG00000021222",399,353,353,340,288,272
"ENSMUSG00000021223",3871,2668,2308,2187,3380,2015
"ENSMUSG00000021224",3631,3037,2212,2174,3622,2695
"ENSMUSG00000021226",204,198,184,145,185,152
"ENSMUSG00000021234",67,101,44,72,90,69
"ENSMUSG00000021235",270,235,328,348,281,250
"ENSMUSG00000021236",1339,1239,829,961,1376,1294
"ENSMUSG00000021238",14626,13855,3919,5886,9037,8568
"ENSMUSG00000021240",190,133,202,179,166,137
"ENSMUSG00000021241",196,232,176,208,180,173
"ENSMUSG00000021242",1019,1111,1242,1276,763,791
"ENSMUSG00000021243",278,311,463,410,316,293
"ENSMUSG00000021244",2778,2626,2645,2755,3224,2948
"ENSMUSG00000021245",831,927,1020,951,915,893
"ENSMUSG00000021248",3802,3852,4035,3965,3395,2957
"ENSMUSG00000021250",45430,35131,33448,36414,40124,34693
"ENSMUSG00000021252",345,332,531,467,346,253
"ENSMUSG00000021253",586,538,250,231,336,346
"ENSMUSG00000021254",721,669,665,659,749,615
"ENSMUSG00000021256",31,16,43,51,36,43
"ENSMUSG00000021257",303,206,201,183,216,204
"ENSMUSG00000021258",963,1108,727,794,658,811
"ENSMUSG00000021259",51,25,9,23,34,27
"ENSMUSG00000021260",18,9,16,10,5,3
"ENSMUSG00000021262",537,432,851,937,725,919
"ENSMUSG00000021263",792,752,416,590,403,484
"ENSMUSG00000021264",2439,2321,2293,2260,2649,2419
"ENSMUSG00000021265",239,156,120,162,151,166
"ENSMUSG00000021266",1640,1687,1746,1706,1454,894
"ENSMUSG00000021268",41,97,4,22,10,16
"ENSMUSG00000021270",7602,11942,8189,8487,6789,7990
"ENSMUSG00000021271",486,392,344,349,376,258
"ENSMUSG00000021273",619,1190,1260,877,457,566
"ENSMUSG00000021275",703,637,616,594,691,605
"ENSMUSG00000021276",237,252,330,298,248,175
"ENSMUSG00000021277",1284,1309,1740,1602,1991,1912
"ENSMUSG00000021279",3941,3395,3079,3251,3542,3718
"ENSMUSG00000021280",10,11,17,6,6,3
"ENSMUSG00000021281",53,16,2264,15,16,18
"ENSMUSG00000021282",7420,8020,7839,7632,6076,7763
"ENSMUSG00000021285",1488,1156,880,1208,1298,1025
"ENSMUSG00000021286",306,237,159,199,202,163
"ENSMUSG00000021287",136,83,113,126,89,76
"ENSMUSG00000021288",1215,1047,1679,1626,1574,1307
"ENSMUSG00000021290",411,427,797,693,546,516
"ENSMUSG00000021294",47,21,17,11,34,9
"ENSMUSG00000021298",67,54,37,72,30,63
"ENSMUSG00000021301",13,12,5,10,0,15
"ENSMUSG00000021302",580,759,638,732,667,736
"ENSMUSG00000021306",118,120,62,65,56,57
"ENSMUSG00000021311",396,423,358,328,322,285
"ENSMUSG00000021313",20,43,77,87,122,134
"ENSMUSG00000021318",3340,3011,1882,2061,3265,3022
"ENSMUSG00000021326",537,508,754,657,566,407
"ENSMUSG00000021327",707,556,694,824,755,640
"ENSMUSG00000021338",2080,1794,1789,1832,1933,1836
"ENSMUSG00000021339",278,290,495,501,556,431
"ENSMUSG00000021340",2169,2289,1521,1892,2044,2384
"ENSMUSG00000021357",898,940,1181,1000,963,960
"ENSMUSG00000021359",2519,2360,2258,2116,2958,2679
"ENSMUSG00000021360",1177,1573,1391,1121,1422,2189
"ENSMUSG00000021361",308,297,533,485,375,328
"ENSMUSG00000021365",290,363,1453,1298,264,335
"ENSMUSG00000021366",4664,4498,3028,3191,4037,4098
"ENSMUSG00000021367",490,743,912,1012,1223,1268
"ENSMUSG00000021368",97,97,148,186,118,99
"ENSMUSG00000021371",1104,1045,873,958,813,960
"ENSMUSG00000021373",19,13,9,10,6,8
"ENSMUSG00000021374",3532,3783,3825,3085,3149,3324
"ENSMUSG00000021375",3719,3518,4220,4555,4974,5491
"ENSMUSG00000021376",37,49,65,85,75,48
"ENSMUSG00000021377",3796,3641,4715,3897,4000,3968
"ENSMUSG00000021379",1383,1111,2737,2241,1232,1336
"ENSMUSG00000021385",252,325,302,268,272,268
"ENSMUSG00000021388",106,150,17,32,30,28
"ENSMUSG00000021390",1434,1481,299,357,2188,877
"ENSMUSG00000021391",35,49,96,60,49,35
"ENSMUSG00000021392",700,745,1002,808,893,787
"ENSMUSG00000021395",3450,2873,4749,4150,4113,3707
"ENSMUSG00000021400",789,631,925,887,906,681
"ENSMUSG00000021408",1620,2072,1461,1490,1538,1659
"ENSMUSG00000021411",490,545,1440,1332,985,999
"ENSMUSG00000021413",2943,3022,3116,3116,3148,2917
"ENSMUSG00000021416",34,30,17,22,31,18
"ENSMUSG00000021417",984,908,842,747,898,790
"ENSMUSG00000021418",139,147,190,142,111,79
"ENSMUSG00000021420",267,257,412,316,274,287
"ENSMUSG00000021427",3937,4696,6131,5187,4559,4307
"ENSMUSG00000021428",710,714,659,725,556,527
"ENSMUSG00000021431",392,377,380,493,413,380
"ENSMUSG00000021432",252,237,227,306,206,204
"ENSMUSG00000021451",167,223,508,461,73,59
"ENSMUSG00000021453",552,701,305,423,501,540
"ENSMUSG00000021456",10,9,11,10,5,0
"ENSMUSG00000021457",71,87,198,133,39,47
"ENSMUSG00000021458",1253,909,1192,1349,1054,1279
"ENSMUSG00000021460",473,503,409,436,542,362
"ENSMUSG00000021461",500,288,306,314,368,412
"ENSMUSG00000021464",855,755,671,746,938,899
"ENSMUSG00000021466",2671,2302,989,1015,1469,1753
"ENSMUSG00000021468",818,778,1040,1039,871,769
"ENSMUSG00000021469",125,90,631,485,385,194
"ENSMUSG00000021470",1128,1108,1279,1084,1110,1173
"ENSMUSG00000021474",1940,2271,2245,2239,1667,1666
"ENSMUSG00000021476",306,277,146,186,190,168
"ENSMUSG00000021477",5771,5328,4042,4415,3950,5302
"ENSMUSG00000021481",277,224,276,220,236,176
"ENSMUSG00000021482",639,456,219,231,397,407
"ENSMUSG00000021483",98,78,61,48,66,72
"ENSMUSG00000021484",3451,3574,4054,3942,3495,2869
"ENSMUSG00000021485",196,175,494,383,274,232
"ENSMUSG00000021486",1549,1373,2931,2475,1759,1656
"ENSMUSG00000021488",7749,6880,9571,9060,9851,8885
"ENSMUSG00000021493",660,570,876,978,778,936
"ENSMUSG00000021494",398,441,535,529,518,450
"ENSMUSG00000021495",807,589,484,611,620,598
"ENSMUSG00000021496",142,152,129,93,125,95
"ENSMUSG00000021497",553,478,531,624,626,528
"ENSMUSG00000021500",3436,3315,3087,2810,3063,2984
"ENSMUSG00000021501",322,249,308,389,339,207
"ENSMUSG00000021504",217,173,176,191,174,121
"ENSMUSG00000021508",1593,770,809,1216,1881,2531
"ENSMUSG00000021509",86,71,59,84,34,54
"ENSMUSG00000021510",824,639,714,852,923,708
"ENSMUSG00000021514",405,377,337,358,387,316
"ENSMUSG00000021518",820,814,931,881,799,756
"ENSMUSG00000021519",524,500,455,538,527,484
"ENSMUSG00000021520",665,793,1114,1036,908,829
"ENSMUSG00000021532",196,214,201,171,180,143
"ENSMUSG00000021537",884,1036,1174,1057,1022,957
"ENSMUSG00000021540",3692,2840,3253,3067,4229,3478
"ENSMUSG00000021546",10411,10438,13521,12583,10953,11044
"ENSMUSG00000021548",824,778,745,791,889,765
"ENSMUSG00000021549",2959,2729,2719,2918,3268,2923
"ENSMUSG00000021550",643,553,628,579,537,413
"ENSMUSG00000021552",303,323,133,167,244,226
"ENSMUSG00000021553",115,110,146,89,27,40
"ENSMUSG00000021555",1180,1033,1251,1338,1232,1092
"ENSMUSG00000021556",1039,986,869,941,764,855
"ENSMUSG00000021557",992,912,500,555,818,820
"ENSMUSG00000021559",8576,9358,4022,6852,5996,5414
"ENSMUSG00000021567",67,54,21,36,83,35
"ENSMUSG00000021569",70,89,321,194,127,79
"ENSMUSG00000021572",87,87,107,106,78,128
"ENSMUSG00000021573",787,909,385,419,776,649
"ENSMUSG00000021576",711,636,1098,1084,794,660
"ENSMUSG00000021577",2026,1866,2236,2343,2155,1634
"ENSMUSG00000021578",868,899,966,1031,1133,938
"ENSMUSG00000021579",111,110,84,92,134,110
"ENSMUSG00000021583",2219,2409,2885,2159,2084,2323
"ENSMUSG00000021585",3670,3518,4741,3937,3386,3688
"ENSMUSG00000021589",635,637,831,740,751,750
"ENSMUSG00000021590",29,31,19,16,20,15
"ENSMUSG00000021591",96,100,147,102,77,136
"ENSMUSG00000021592",837,863,579,643,509,726
"ENSMUSG00000021594",1509,1775,1280,1521,1432,1543
"ENSMUSG00000021595",2071,2280,3462,2367,1894,1720
"ENSMUSG00000021596",25,17,5,15,7,14
"ENSMUSG00000021597",292,411,154,291,330,134
"ENSMUSG00000021598",169,170,257,247,208,171
"ENSMUSG00000021604",16,4,4,6,16,12
"ENSMUSG00000021606",306,316,405,324,354,300
"ENSMUSG00000021607",238,196,416,412,278,211
"ENSMUSG00000021608",358,274,318,251,325,237
"ENSMUSG00000021610",1554,1623,2480,2157,1924,1682
"ENSMUSG00000021611",148,172,121,186,213,124
"ENSMUSG00000021614",1391,2226,909,1684,5371,4581
"ENSMUSG00000021615",196,211,246,239,231,236
"ENSMUSG00000021619",188,149,150,140,136,175
"ENSMUSG00000021621",422,452,531,520,460,422
"ENSMUSG00000021624",199,188,172,154,212,197
"ENSMUSG00000021629",1309,1384,2102,1978,1707,1521
"ENSMUSG00000021635",522,478,552,479,573,495
"ENSMUSG00000021636",688,745,413,473,293,474
"ENSMUSG00000021638",1462,1744,616,920,604,1003
"ENSMUSG00000021639",464,387,434,464,386,418
"ENSMUSG00000021643",87,82,127,144,169,115
"ENSMUSG00000021645",345,348,508,423,386,296
"ENSMUSG00000021646",683,724,461,534,404,410
"ENSMUSG00000021650",319,269,456,365,355,281
"ENSMUSG00000021660",2875,2945,4615,3676,3294,3098
"ENSMUSG00000021661",323,260,308,340,323,269
"ENSMUSG00000021662",983,879,419,538,948,804
"ENSMUSG00000021665",1457,1444,687,938,867,710
"ENSMUSG00000021666",1288,1374,875,1049,1080,846
"ENSMUSG00000021668",788,843,636,766,790,724
"ENSMUSG00000021669",2844,2812,1991,2494,3021,2782
"ENSMUSG00000021670",1339,2530,2454,1897,1271,1483
"ENSMUSG00000021671",310,288,288,249,312,298
"ENSMUSG00000021675",37,17,18,15,22,9
"ENSMUSG00000021676",2693,3588,833,1027,1427,1383
"ENSMUSG00000021678",3080,2576,2195,3448,3457,3053
"ENSMUSG00000021681",1588,1484,1355,1338,1693,1569
"ENSMUSG00000021684",207,128,57,50,77,75
"ENSMUSG00000021686",2485,2676,2300,2359,2247,2553
"ENSMUSG00000021687",1765,1646,1591,1758,1935,1797
"ENSMUSG00000021690",2876,2935,2047,1929,3064,2865
"ENSMUSG00000021692",273,307,440,330,332,314
"ENSMUSG00000021693",1189,1198,1463,1381,1503,1481
"ENSMUSG00000021694",182,159,179,159,146,107
"ENSMUSG00000021696",1603,1657,1408,1566,1655,1480
"ENSMUSG00000021697",7,21,61,65,36,15
"ENSMUSG00000021699",260,288,275,350,253,285
"ENSMUSG00000021701",2953,4124,5448,6523,4224,6541
"ENSMUSG00000021703",1359,1093,2143,2354,1150,1207
"ENSMUSG00000021704",476,418,318,361,432,336
"ENSMUSG00000021706",1017,982,782,885,990,907
"ENSMUSG00000021707",197,196,490,308,218,153
"ENSMUSG00000021708",78,43,10,6,11,19
"ENSMUSG00000021709",14873,14229,11602,12228,15247,17958
"ENSMUSG00000021710",526,646,829,818,567,561
"ENSMUSG00000021711",1180,1133,1503,1471,1428,1096
"ENSMUSG00000021712",842,654,598,540,660,688
"ENSMUSG00000021713",407,463,564,562,538,450
"ENSMUSG00000021714",36,34,179,106,79,54
"ENSMUSG00000021715",410,408,365,297,342,389
"ENSMUSG00000021716",496,456,491,545,523,410
"ENSMUSG00000021719",35,31,10,15,14,16
"ENSMUSG00000021720",239,189,263,296,177,160
"ENSMUSG00000021725",996,958,1374,1373,1103,1128
"ENSMUSG00000021728",764,1036,201,1000,398,711
"ENSMUSG00000021731",413,339,622,500,393,358
"ENSMUSG00000021732",46,80,7,4,9,24
"ENSMUSG00000021733",942,1079,10985,7408,1998,2151
"ENSMUSG00000021737",1010,877,1639,1492,1287,1133
"ENSMUSG00000021738",2120,2096,1113,1475,1835,2266
"ENSMUSG00000021745",3873,3614,2932,2645,3314,3493
"ENSMUSG00000021748",802,821,1023,990,816,827
"ENSMUSG00000021749",201,290,191,271,63,75
"ENSMUSG00000021750",19,13,10,7,5,2
"ENSMUSG00000021752",194,133,150,149,144,134
"ENSMUSG00000021754",2816,2544,6240,5978,3998,3661
"ENSMUSG00000021756",16925,16169,10304,10244,13782,14681
"ENSMUSG00000021759",224,220,160,165,244,220
"ENSMUSG00000021760",415,436,591,590,483,484
"ENSMUSG00000021763",482,417,155,142,399,291
"ENSMUSG00000021764",504,519,764,647,627,544
"ENSMUSG00000021765",69,75,228,151,29,73
"ENSMUSG00000021767",2033,2428,1405,1762,1925,2115
"ENSMUSG00000021770",792,853,702,722,786,809
"ENSMUSG00000021771",1839,1614,3002,2419,1994,1710
"ENSMUSG00000021772",1123,996,1359,1263,1260,1159
"ENSMUSG00000021773",48,50,92,89,52,60
"ENSMUSG00000021774",1394,1218,1710,1622,1588,1476
"ENSMUSG00000021775",3957,3212,2502,2945,3489,4302
"ENSMUSG00000021779",694,713,269,375,487,457
"ENSMUSG00000021782",2229,2137,2676,2580,2638,2400
"ENSMUSG00000021785",810,788,717,706,773,745
"ENSMUSG00000021786",276,225,270,263,205,187
"ENSMUSG00000021792",444,448,347,236,196,125
"ENSMUSG00000021794",3802,3581,4269,3436,3250,3204
"ENSMUSG00000021796",9062,8996,6800,7689,10068,9763
"ENSMUSG00000021803",19,15,185,60,25,48
"ENSMUSG00000021806",63,194,12,24,16,47
"ENSMUSG00000021807",1707,1892,2010,1936,2181,2179
"ENSMUSG00000021809",254,221,132,171,200,133
"ENSMUSG00000021810",739,623,860,738,649,527
"ENSMUSG00000021811",308,297,661,446,425,303
"ENSMUSG00000021814",2364,2595,2353,2219,1969,1933
"ENSMUSG00000021815",34,21,28,30,23,35
"ENSMUSG00000021816",2154,2147,2224,2019,2378,2088
"ENSMUSG00000021819",2355,2189,2500,2453,2507,2832
"ENSMUSG00000021820",574,534,765,695,738,663
"ENSMUSG00000021822",93,115,1475,1170,365,307
"ENSMUSG00000021823",4521,4816,5246,5031,4144,5795
"ENSMUSG00000021824",2996,3159,3662,3580,2985,3646
"ENSMUSG00000021830",568,359,419,305,269,281
"ENSMUSG00000021831",650,739,1153,808,830,653
"ENSMUSG00000021832",1829,1883,2934,2645,2179,2124
"ENSMUSG00000021835",606,410,29,40,373,182
"ENSMUSG00000021838",380,280,192,271,164,195
"ENSMUSG00000021840",1734,2110,2323,2055,1611,1564
"ENSMUSG00000021843",10124,9394,8668,7792,9890,9946
"ENSMUSG00000021846",1640,1715,1118,1312,2044,1925
"ENSMUSG00000021866",465,441,298,322,289,365
"ENSMUSG00000021868",400,331,683,497,522,415
"ENSMUSG00000021870",3022,2836,3309,3541,3727,3630
"ENSMUSG00000021871",328,422,463,284,355,298
"ENSMUSG00000021874",65,44,21,36,29,41
"ENSMUSG00000021876",2307,2022,2574,3155,2908,3095
"ENSMUSG00000021877",7441,8030,6441,6719,6156,6605
"ENSMUSG00000021879",40,29,14,19,11,38
"ENSMUSG00000021884",193,129,146,145,144,124
"ENSMUSG00000021890",698,729,1031,873,763,777
"ENSMUSG00000021891",293,279,259,231,269,211
"ENSMUSG00000021892",454,422,368,320,351,335
"ENSMUSG00000021893",1717,1633,1512,1701,1762,1731
"ENSMUSG00000021895",3725,2696,1897,2118,3242,3151
"ENSMUSG00000021898",56,58,18,19,26,40
"ENSMUSG00000021900",282,202,286,326,249,213
"ENSMUSG00000021901",1094,981,964,925,1059,906
"ENSMUSG00000021902",153,133,131,105,131,137
"ENSMUSG00000021903",234,161,32,40,64,89
"ENSMUSG00000021904",93,32,10,10,14,21
"ENSMUSG00000021905",726,715,698,709,799,724
"ENSMUSG00000021906",463,611,404,408,468,399
"ENSMUSG00000021907",6616,4460,951,1485,659,624
"ENSMUSG00000021908",397,239,291,350,122,146
"ENSMUSG00000021910",6990,6861,7049,8974,7759,7123
"ENSMUSG00000021911",1282,1365,1532,1517,1492,1409
"ENSMUSG00000021916",288,311,259,314,271,216
"ENSMUSG00000021917",556,575,780,812,679,537
"ENSMUSG00000021918",274,271,347,325,286,230
"ENSMUSG00000021928",195,184,172,181,207,155
"ENSMUSG00000021929",1829,1796,2872,2248,2158,1952
"ENSMUSG00000021930",364,548,642,485,441,287
"ENSMUSG00000021932",114,126,394,283,185,160
"ENSMUSG00000021936",1443,1319,1376,1483,1366,1460
"ENSMUSG00000021938",906,733,987,970,911,771
"ENSMUSG00000021939",3842,3897,5913,5100,4322,3699
"ENSMUSG00000021943",29,78,50,42,65,32
"ENSMUSG00000021945",4326,3794,3482,3549,4410,4087
"ENSMUSG00000021947",486,419,412,416,301,284
"ENSMUSG00000021948",1857,1724,1915,2418,2353,2165
"ENSMUSG00000021950",43,22,4396,1851,308,278
"ENSMUSG00000021951",150,156,238,204,188,184
"ENSMUSG00000021952",956,1019,1159,912,881,811
"ENSMUSG00000021957",2995,3498,7100,6007,3992,3500
"ENSMUSG00000021958",135,141,299,296,183,152
"ENSMUSG00000021959",2600,2307,1031,1126,2065,2102
"ENSMUSG00000021962",1285,1346,1244,1116,1326,1247
"ENSMUSG00000021963",785,811,791,771,762,769
"ENSMUSG00000021965",54,75,174,100,55,104
"ENSMUSG00000021967",174,187,212,243,219,143
"ENSMUSG00000021969",2437,2400,2455,2261,1992,2425
"ENSMUSG00000021972",1403,1300,1352,1456,1411,1585
"ENSMUSG00000021973",1156,1168,1449,1232,1446,1303
"ENSMUSG00000021975",557,617,870,832,575,557
"ENSMUSG00000021978",1503,1262,1609,1529,1719,1447
"ENSMUSG00000021981",955,1177,923,938,794,788
"ENSMUSG00000021982",470,446,383,438,487,407
"ENSMUSG00000021983",42,67,92,138,84,125
"ENSMUSG00000021987",1383,1113,990,981,1237,1080
"ENSMUSG00000021990",829,778,442,579,263,304
"ENSMUSG00000021993",254,288,447,460,336,216
"ENSMUSG00000021994",301,410,701,496,1048,486
"ENSMUSG00000021996",1071,921,1923,1578,1161,1025
"ENSMUSG00000021998",827,810,376,334,187,229
"ENSMUSG00000022000",2232,2599,2134,1933,2322,2284
"ENSMUSG00000022003",558,711,397,444,265,210
"ENSMUSG00000022008",1329,1333,1337,1279,1403,1247
"ENSMUSG00000022009",266,288,418,295,261,216
"ENSMUSG00000022010",4147,4197,6538,7114,7089,5786
"ENSMUSG00000022012",210,202,310,248,434,495
"ENSMUSG00000022013",79,120,201,216,124,118
"ENSMUSG00000022014",13,3,47,48,2,0
"ENSMUSG00000022016",3040,3190,2425,2051,2605,2656
"ENSMUSG00000022018",134,80,48,59,46,57
"ENSMUSG00000022019",1348,1422,1254,1234,1433,1534
"ENSMUSG00000022020",698,669,557,513,650,425
"ENSMUSG00000022021",136,253,1038,790,542,365
"ENSMUSG00000022022",92,97,113,114,98,72
"ENSMUSG00000022023",818,799,810,789,827,825
"ENSMUSG00000022024",743,788,856,836,836,676
"ENSMUSG00000022031",1025,1126,1077,970,927,795
